"No  withdrawal  of  money  may  be  made from  the  Government  Account  except  by presentation    of       in    support    of relevant claim for the purpose?","Bill","Voucher","Document","Form","Bill"
"A  bill  becomes  a   only  when  it  is receipted and stamped ‘PAID’","Paid Bill","Voucher","Document","Form","Form"
"Income  tax  is  required  to  be  deducted  at source  at  the  rate  of  %  in  all  cases  of payment      to      contractors      and      sub- contractors     exceeding     the     prescribed amount under IT Act ?",0.5,1,2,5,2
"Charges  against  two  or  more  major  heads should not be included in one bill as per the provisions   of   Receipt   &   Payment   Rules. Which of the following is an Exception?","Misc. Expenditure","Imprest","Debt Heads","Pay and Allowances","Pay and Allowances"
"The   Head   of   an   Office   may   authorize any serving under him to sign a bill or order for him, communicating the name and  specimen  signature  of  the  officer  to the disbursing officer concerned","Person","Responsible employee","Sufficiently higher level officer","Gazetted Officer","Gazetted Officer"
"Central  Government  Receipts  &  Payments were framed in the year ?",1976,1983,1993,1996,1983
"There    are       Major    heads    under Revenue Receipts ?",4,5,6,7,5
"On  the  expenditure  side  there  are   Major Heads?",4,5,6,7,6
"There    are   Sub-Major    heads    under Capital Outlay?",8,9,10,12,8
"Army has Minor heads of accounting?",8,9,10,12,12
"Navy has Minor heads of accounting?",8,9,10,12,9
"Air    Force    has       Minor    heads    of accounting?",8,9,10,12,8
"Ordnance Factories have Minor heads of accounting?",8,10,12,14,14
"DRDO has Minor heads of accounting?",6,7,8,9,8
"Which   of   the   following   Minor   heads   of accounting is common to all services?",101,105,111,"All the three","All the three"
" is  responsible  for  establishing  and maintaining a technically sound accounting system  in  the  Departmentalized  Accounts Offices and to prescribe general principles, systems      and      form      of      Government accounts?","C&AG","CGA","CGDA","GASAB","CGA"
"functions  to  coordinate  and  assist  in introduction   of   Management   Accounting System         in         Central         Government Departments ?","CGA","C&AG","CGDA","GASAB","CGA"
"If  the  accredited  bank  is  required  to  be changed, the proposal should be invariably referred to the ?","C&AG","CGA","Both","None","CGA"
"The bills for pre-payment check should only be in the form of","Acknowledgemen t","Voucher","Claim","All the three","Claim"
"Punching  Medium  is  used  for  compilation in  DAD.  In  the  Civil  Accounts  Manual  one will  find  such  document  with  a  different nomenclature i.e. ?","Journal Entry","Compilation Medium","Compilation voucher","Compilation sheet","Compilation sheet"
"Consolidated  Abstract  is  prepared  in   parts  with  reference  to  the  provisions  of Civil Accounts Manual?",5,4,3,2,2
"Government  Accounting  Rules  came  into force w.e.f. ?",01.10.1976,01.04.1990,01.04.1983,01.10.1993,01/04/90
"In    the    Government    Accounting    Rules, special   provisions   have   been   made   to which of the following Ministry?","Railways","Defence","Postal","All the three","All the three"
"If  money  due  to  Government  has  actually reached a Government servant and is then embezzled,   stolen   or   lost,   what   action would you suggest?","Take it as  receipt and write off the loss under appropriate head","Don’t take it as a receipt and regularise as loss","Take it as receipt","None","Take it as  receipt and write off the loss under appropriate head"
"The  Accounts  Officer  is  the   of  the Factory and also renders financial advice to the  Factory  Superintendent  on  all  general questions","IFA","Cost Accountant","Both","None","Cost Accountant"
"Which of the following is not a duty of the Accounts Office in Factory?","Record of Time and wages","Valuation of Materials","Both","None","None"
"Which of the following is not a duty of the Accounts Office in Factory?","Comparison of Store Ledger balance with Bin Card Balances","Maintenance of Priced Store Ledgers for Factory Stock","Association with the Factory staff in the Preparation and scrutiny of Indents, demands etc.,","None","None"
"Which  of  the  following  is    a  duty  of  the Accounts Office in Factory?","Maintenance of Production Cards","Compilation and levy of shop charges","Both","None","Both"
"Which  of  the  following  is    a  duty  of  the Accounts Office in Factory?","Preparation of rent rolls for person occupying factory quarters","Attendance of Auction Sales","Both","None","Both"
"Who among the following is the incharge of Ordnance Factory?","General Manager","C of A (Fy.)","Both","None","General Manager"
"Which  of  the  following  is  not  a  part  of Defence  Budget  Demand  for  Grant  under Revenue?","Army","Ordnance Factories","R&D","None","None"
"How    many    Demands    for    Grants    are prepared for Defence Pension",1,2,3,5,1
"How    many    Demands    for    Grants    are prepared for MOD (Civil)",1,2,3,5,1
"Who among the following is responsible for monitoring  the expenditure against budget allocation for the Defence Pension?","PCDA (P)
Allahabad","CDA (PD) Meerut","Both","None","PCDA (P)
Allahabad"
"To  arrive  at  the  figures  to  be  included  in the Forecast Estimates for Defence Pension heads, actuals of the  will be taken as basis?","last 3 years","last 2 years","Preceding year","Last 6 months","Preceding year"
"Pension budget is prepared in parts?",5,4,3,2,2
"Which  of  the  following  is  not  a  separate part in the  Pension Budget?","Defence Pension","Civil Pension","Commutation of Pension","None","Commutation of Pension"
"The  information  regarding  fresh  induction of pensioners is taken with reference to the pension cases notified during  in the current    year    while    preparing    Defence Pension Budget?","3-4 months","5-6 months","7-8 months","9-10 months","5-6 months"
"For  calculation  of   financial  impact  while preparing  Pension  Budget,  whose  pay  is taken as mean in respect of Army Officers?","Major","Lt. Colonel","Colonel","Brigadier","Lt. Colonel"
"For  calculation  of  financial  impact  while preparing  Pension  Budget,  whose  pay  is taken as mean in respect of PBORs?","Subedar","Nb. Subedar","Havaldar","Naik","Havaldar"
"For  calculation  of  financial  impact  while preparing  Pension  Budget,  whose  pay  is taken as mean in respect of Civilians?","ACDA","AAO","Senior Auditor","UDC","UDC"
"While   preparing   Pension   Budget,   DR   is calculated on ?","Gross Pension","Net Pension","Commuted portion of pension","None","Gross Pension"
"The  likely  normal  wastage  due  to  death, etc.    at    the    estimated    rate    of% (approx.)  is  reduced  from  the  pension  / family pension estimate",2.5,5,8,10,2.5
"After the pensioners are paid, the pension paid voucher is required to be submitted to the PCDA (Pensions) by all the PDAs except
?","DPDOs","Banks","Post Offices","None","DPDOs"
"The   scheme   for   payment  of   pension   to Defence    pensioners    including    Defence civilian  pensioners  by  Public  Sector  Banks was  introduced  with  effect  from   in all the states?",15.08.1947,26.01.1950,01.01.1978,01.10.1993,01/01/78
"Audit done by DAD is called as ?","Internal Audit","Test Audit","Statutory Audit","Defence Inter Departmental Audit","Internal Audit"
"Which of the following organizations is not subject  to  Audit  by  DGADS  but  subject  to audit by DAD?","MES","Cantonment Boards","DG MAP","All the three","Cantonment Boards"
"Concurrent  Audit  is  done  in  which  of  the following offices?","LAO","RAO","PCDA/CDA","All the three","PCDA/CDA"
"   embraces   the   broad   and    general principles    on    which    audit    by    DAD    is conducted  over  Defence  Services  Receipts and Expenditure?","FR I","GFR","DPM","Defence Audit Code","Defence Audit Code"
"Who conducts audit of sanctions issued by Government of India?","CGDA","DGADS","CGA","All the three","DGADS"
"Information  required  by  PcsDA/CsDA  from Service    Headquarters    for    purposes    of higher  Audit  should  be  obtained  through
?","Demi Official Correspondence only","CGDA","DGADS","Any of the three","CGDA"
".   %   of   short/excess   supplies   can   be accepted  by  CFA,  which  is  not  considered as modification to a Contract?",25,20,10,5,5
"Who  among  the  following  conducts  audit of     sanctions     and     orders     issued     by Government of India","CGDA","PCDA/CDA","LAO/RAO","None","None"
"Expand AT Note?","Audit Note","Additional Tender Note","Accepted Tender Note","Authorized Tender Note","Accepted Tender Note"
"Annual  Audit  Certificate  (yearly)  Report  is generally submitted to CGDA by PCDA/CDA by , if otherwise changed by CGDA?","1st April","1st May","1st June","1st August","1st August"
"Licence  Fee  bills  in  respect  of  Civilians  are received  from   in  PCDA/CDA  office pay sections?","BSO","GE","AO/AAO GE/BSO","LAO/RAO","AO/AAO GE/BSO"
"S&S  Imprest  holder  is  supposed  to  submit his   monthly   account   to   PCDA/CDA   by
of the following month?","7th","10th","15th","20th","10th"
"Appropriation      Accounts      of      Defence Services  is  furnished  to  DGADS/C&AG  of India by ?","15th December","15th January","31st January","31st March","15th January"
"Audit  conducted  by  DGADS  is  also  known as ?","Statutory Audit","Test Audit","Both","None","Both"
"Audit  of  recoveries  in  IRLA  is  done  from
?","Voucher to IRLA and not vice versa","IRLA to voucher and not vice versa","Voucher to IRLA or vice versa","IRLA to voucher or vice versa","Voucher to IRLA and not vice versa"
"To    avoid    double    payments    recurring charges    will    be    linked    with       and audited?","Average charges in the last quarter","Previous charges","Previous years charges","All the three","Previous charges"
"Arrears of pay of Defence Civilians are paid through ?","Regular pay bill","Supplementary pay bill","Both","None","Supplementary pay bill"
"The     primary     check     over     contingent expenditure is exercised by the ?","Executive","LAO","PCDA/CDA","All the three","Executive"
"Which   of   the   following   items   are   not admissible out of the Contingent and Misc. charges?","Purchase of Railway Guide","Indian Postal and Telegraph Guide","Both","None","None"
"Service records of all group A; and B civilian officers of MES shall be maintained by the
?","Garrison Engineer","Commander Works Engineer","Chief Engineer","Central Record Office (Officers) Delhi","Central Record Office (Officers) Delhi"
"Despatch  of  stores  Ex-India  requires  the prior sanction of the ?","CGDA","Army H.Qrs.","MOD","Government of India","Government of India"
"Who   conducts   of   Audit   of   Cantonment Boards Accounts?","DGADS","DAD","Both","None","DAD"
"No  appropriation  is  needed  in  respect  of recoveries    of    expenditure    which    are treated as receipts?","Initially","Finally","Both Initially and finally","None","Both Initially and finally"
"Payment   of   bills   for   freight   charges   in respect of Imported Stores is made by the
?","PCDA New Delhi","PCDA Navy Mumbai","PCDA (AF) Dehrudun","Embarkation Commandant","Embarkation Commandant"
"Special   train   warrants   are   audited   with reference to ‘&#39; orders authorizing the move of the special train","Special","Emergency","Express","Milrail","Milrail"
"Which  of  the  following  is  not  a  stage  of Appropriation Audit?","Sanction Audit","Expenditure Audit","Receipts Audit","None","Receipts Audit"
"Which of the following is not a function of audit?","To verify the accounts","To prescribe rules and orders","To see that rules are applied properly","None","To prescribe rules and orders"
"The audit of  consists in seeing that all sums   due   to   Government   are   promptly credited and brought to account?","Sanctions","Expenditure","Receipts","All the three","Receipts"
"Without  the  sanction  of   ,  PCDA/CDA will  not  take  up  the  audit  of  any  accounts which  do  not  fall  within  the  sphere  of  his duties?","MOD","CGDA","C&AG","All the three","CGDA"
"Audit of dues to Government is done from
?","Voucher to Pay Bill and vice versa","Pay Bill to voucher and vice versa","Voucher to Pay Bill not vice versa","Pay Bill to Voucher not vice versa","Voucher to Pay Bill not vice versa"
"In case where Date of birth is not known in respect of an employee, but year of birth is known, which date will be considered?","1st January","1st April","1st July","Date declared by him/her","1st July"
"While auditing pay bill, audit office verifies which of the following documents?","Last Pay bill","Supporting documents for changes in entitlements/recoverie s","Both","None","Both"
"Which of the following does not fall under the   categories   of   sanctions   and   orders affecting financial transactions?","Rules and general orders","Grants and appropriations","Sanctions to Expenditure","None","None"
"will be the Central Scale Audit Agency for carrying out the scale audit in respect of civilians of the AMC?","CDA (Army) Meerut","PCDA New Delhi","PCDA (SC) Pune","PCDA (CC)
Lucknow","PCDA (CC)
Lucknow"
"When  return  air  passages  are  sanctioned by    Government,    exchange    orders    are issued by  branch of Army HQs. on the authority of which payment is made to the air line concerned?","AG","GS","E in C","QMG","QMG"
"Which  of  the  following  is  not  a  financial advice rendered by PCDA/CDA as a part of Internal Audit?","Original Financial Advice","Originating Financial Advice","Responding Financial Advice","None","Originating Financial Advice"
